,voice,acc
742,-1.95804,11.45917
743,8.78766,10.9089
744,4.53126,8.63545
745,2.17456,7.67206
746,0.37862,5.77227
747,0.04501,11.13051
748,-0.48016,10.12363
749,3.21346,9.38005
750,2.24638,10.03568
751,2.3554,9.69035
752,1.99896,8.62927
753,5.57687,8.14007
754,6.10839,8.3114
755,5.15155,9.20121
756,0.1957,11.54466
757,-2.32492,11.54485
758,-9.45487,11.79673
759,0.06503,8.40254
760,0.14449,7.28023
761,0.05254,8.05191
762,-0.45311,11.67574
763,-9.43291,12.05593
764,-8.66511,11.79417
765,-10.43341,11.10917
766,-9.38284,11.43335
767,-13.01304,12.63181
768,-9.27848,11.70137
769,-9.26229,11.75685
770,-10.15913,11.05305
771,-9.51965,11.82982
772,-12.02079,12.93507
773,-13.23991,11.82245
774,-8.97364,11.97816
775,-9.21026,12.6905
776,-11.42226,11.22111
777,-9.18836,11.40656
778,-15.24812,12.7617
779,-9.77654,12.08281
780,-10.76341,11.92057
781,-13.13807,11.30376
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,-4.10366,13.23424
828,3.87851,9.14599
829,6.40325,8.3467
830,1.99692,8.63177
831,2.48982,6.80629
832,-1.45213,12.74806
833,2.86903,9.21179
834,1.51741,8.24007
835,-2.10853,13.13198
836,3.53525,12.35215
837,8.17697,8.89145
838,5.47353,8.30273
839,4.75004,8.10875
840,6.54162,12.66908
841,1.60367,9.68954
842,1.38778,12.31334
843,-0.02877,11.91758
844,3.94357,8.67265
845,4.55247,7.04362
846,3.41491,8.15633
847,4.5048,8.62762
848,3.35783,8.62788
849,3.10927,8.85557
850,2.16561,7.70686
851,1.4976,7.52531
852,4.63249,6.92307
853,2.96302,6.60342
854,2.0108,6.666
855,0.23539,8.57845
856,3.05372,5.58579
857,0.59854,8.56434
858,-0.84842,11.65604
859,,
860,,
861,,
862,,
863,,
864,-9.12536,10.5916
865,2.64666,8.63699
866,3.53069,5.83752
867,3.6855,8.39334
868,2.37334,7.93085
869,-0.16043,11.08295
870,-0.06451,11.02854
871,-0.00595,8.30356
872,-0.03843,8.7939
873,0.14434,10.84238
874,4.30015,6.28479
875,3.46236,8.39498
876,2.13689,7.30508
877,2.96586,9.13263
878,-7.6938,11.0334
879,0.04116,9.45389
880,-0.00562,8.96989
881,3.52359,9.03602
882,3.9581,7.601
883,4.3254,8.823
884,3.36546,9.8813
885,3.46587,9.22898
886,2.77896,9.52537
887,2.77967,9.35394
888,1.05535,8.8482
889,3.52297,8.26849
890,2.8698,7.19517
891,2.67679,6.61435
892,0.28383,9.97622
893,2.86758,7.51696
894,2.23917,7.98919
895,-0.18628,11.85151
896,-34.50602,12.47224
897,,
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,-0.23973,12.96192
913,0.15873,10.56235
914,0.32698,8.58374
915,1.29756,7.72899
916,0.72753,8.861
917,1.61945,7.55272
918,2.18208,6.3931
919,4.34105,6.03954
920,4.57565,4.67895
921,4.23952,4.48212
922,4.61431,4.37983
923,8.13505,-4.30024
924,6.92806,-4.39097
925,7.34014,-1.94988
926,7.6065,0.64604
927,9.26796,-1.855
928,10.02004,0.25915
929,5.59345,1.52557
930,6.68854,0.76146
931,8.18186,-1.32392
932,8.82954,-0.98898
933,6.5193,-0.91765
934,8.9344,2.18654
935,9.1097,0.66163
936,10.19246,1.62301
937,5.48263,2.83141
938,4.05883,1.24664
939,3.9443,2.23799
940,5.02484,1.71888
941,8.23124,3.58972
942,6.50916,3.89061
943,7.66341,3.67493
944,6.65083,2.96007
945,8.93388,3.67029
946,8.07454,3.38099
947,7.91066,3.79499
948,6.44992,3.12181
949,8.90482,3.61508
950,7.15775,4.01837
951,9.32512,3.95052
952,8.39841,2.88838
953,7.0948,6.84966
954,4.81591,6.70195
955,2.52122,6.46182
956,2.97203,6.77095
957,1.769,5.75897
958,0.20143,8.00739
959,0.05618,4.78949
960,0.06368,3.43565
961,-0.01059,7.89381
962,-4.98428,9.68389
963,-1.78656,9.67569
964,0.42201,4.34239
965,1.47851,6.22238
966,0.39547,7.47609
967,-0.01863,8.08739
968,-0.01906,4.88479
969,-0.02315,6.42203
970,-0.17986,9.10029
971,-7.81318,9.63424
972,0.17529,5.45868
973,1.6002,6.20783
974,0.38093,5.84939
975,-0.01848,8.36938
976,0.02495,4.2532
977,0.03977,6.60953
978,-0.09317,8.87898
979,-4.0891,7.76227
980,-0.00411,5.60246
981,2.58559,6.26386
982,1.08509,5.54715
983,0.10369,7.4927
984,0.04316,3.36944
985,-0.03485,4.13773
986,-0.00928,6.12115
987,-14.6348,7.36274
988,0.02473,6.47638
989,0.05672,4.59649
990,0.10883,6.49572
991,0.42315,5.50009
992,0.4447,5.72972
993,0.0998,4.06293
994,-0.02045,8.32759
995,-2e-05,5.94963
996,-1.32983,6.18365
997,0.59204,4.2752
998,0.03636,7.08901
999,0.67613,6.30174
1000,0.42076,5.61545
1001,0.21111,3.89209
1002,0.01709,4.909
1003,-0.05524,5.58883
1004,0.01223,6.35358
1005,-0.06573,5.30892
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,,
1030,,
1031,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,-13.46092,-4.01009
1062,-11.11969,-1.57726
1063,-18.42533,5.30477
1064,-21.89439,4.63796
1065,-10.63799,3.51017
1066,-17.63174,5.35706
1067,-21.84702,5.44804
1068,-20.77164,5.54975
1069,-32.0041,16.24165
1070,-28.8708,16.65972
1071,-30.51612,13.77107
1072,-32.12459,15.28429
1073,-32.58381,13.61337
1074,-31.66134,10.9351
1075,-38.7042,14.52355
1076,-36.43332,14.19605
1077,-34.2322,14.1268
1078,-28.74371,11.62888
1079,-28.34501,11.81026
1080,-37.54837,15.7999
1081,-38.43624,16.61359
1082,-30.75285,12.75431
1083,-29.29377,12.05166
1084,-29.43174,13.36969
1085,-43.43259,14.22466
1086,-34.47864,14.05146
1087,-14.75642,11.5878
1088,0.47274,10.8425
1089,0.59635,9.67234
1090,0.2861,9.8134
1091,0.04896,11.4033
1092,-27.46587,12.36182
1093,-15.84095,13.60796
1094,0.43989,9.7246
1095,0.2462,10.99379
1096,0.35275,9.91651
1097,-1.45262,14.61631
1098,-25.12715,11.17723
1099,0.13698,11.76587
1100,0.00279,7.54539
1101,0.13756,8.10781
1102,0.47139,10.87667
1103,0.09641,8.8302
1104,0.35486,11.69417
1105,0.1383,8.44778
1106,0.24407,9.46373
1107,0.28751,10.05927
1108,-0.00032,13.30437
1109,-3.78146,12.59032
1110,-0.00248,10.56716
1111,0.3305,8.53457
1112,0.17306,8.84469
1113,0.78586,9.07895
1114,0.53316,10.09499
1115,-0.00554,13.49103
1116,0.29633,8.72806
1117,0.68086,11.12306
1118,0.56924,8.22785
1119,0.2414,10.04634
1120,0.15842,10.5875
1121,0.03306,12.0923
1122,0.367,7.37873
1123,0.25049,10.271
1124,-0.00671,10.38965
1125,0.06767,8.31551
1126,0.33565,11.41196
1127,0.06511,8.91197
1128,0.10617,9.48576
1129,0.01015,8.67561
1130,0.03715,11.26715
1131,0.93934,9.47533
1132,0.16722,7.06992
1133,-12.21989,8.37117
1134,-37.79922,8.3023
1135,-34.83569,9.4316
1136,-8.41169,8.81605
1137,0.54993,6.07335
1138,0.24552,6.84905
1139,0.04406,6.40786
1140,-38.82838,8.95502
1141,-28.01888,8.71967
1142,0.00924,8.28988
1143,0.02534,6.79786
1144,0.02887,7.16652
1145,0.0068,7.60548
1146,0.16966,6.61232
1147,0.13604,6.07006
1148,0.01212,7.8348
1149,0.03017,6.65707
1150,0.01948,7.21359
1151,-0.00327,7.85592
1152,-0.01073,8.00887
1153,-10.10017,9.21692
1154,-0.00808,8.88596
1155,0.0368,8.91248
1156,0.03013,9.37035
1157,0.07286,10.10322
1158,-26.41478,11.41662
1159,-22.31164,12.13436
1160,-0.00062,8.82575
1161,0.00393,8.71698
1162,0.04595,6.54059
1163,0.42239,11.77969
1164,-22.64803,12.81826
1165,-0.0103,12.32279
1166,0.00089,7.08089
1167,0.09494,9.88551
1168,0.10366,10.42321
1169,0.12215,7.63667
1170,0.22061,9.71172
1171,0.40003,10.42172
1172,0.04305,8.91162
1173,-0.39754,9.83637
1174,0.11797,12.61417
1175,-19.31712,13.49659
1176,0.08712,9.53383
1177,-0.00867,6.91283
1178,-0.07475,10.50542
1179,0.26441,8.8021
1180,-15.43599,13.61792
1181,-6.54021,11.79854
1182,0.04335,8.60083
1183,0.03163,7.39303
1184,0.64139,9.51023
1185,0.62194,9.05901
1186,0.03646,11.40269
1187,-0.21635,11.95364
1188,0.13905,7.84672
1189,0.14154,8.58374
1190,0.02374,10.39413
